"","DEPT","SP","GR","CALI","BITSIZE","MSFL","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"65",130,-39.15475,64.1522,14.2323,12.25,6.538,12.9768,6.8306,2.269,49.8023,129.1272,8.9,"WA2",130,0.250704455425328,0.0748757652099663,0.137146459990573,0.126417768772654,0.100338329274472,0.245806451612903,35.2159729817426
"66",130.5,-40.12318,64.2991,14.0174,12.25,7.9331,16.1483,7.3188,2.2691,48.8713,126.8713,8.9,"WA2",130.5,0.251515144825881,0.0752043509440243,0.137671759600554,0.12690784466803,0.100728152121158,0.245741935483871,34.5576645101261
"67",131,-40.73792,66.1511,13.8025,12.25,9.1059,17.9759,7.2574,2.2706,48.5015,124.6155,8.9,"WA2",131,0.261735681039802,0.0794060369616596,0.144345212576102,0.133135462200095,0.10568651500012,0.244774193548387,34.2961762931076
"68",131.5,-41.34986,67.5444,13.6193,12.25,8.4116,18.803,6.9336,2.2882,48.3465,122.3597,8.9,"WA2",131.5,0.269424813386916,0.0826404527404127,0.149428492549539,0.137881076489455,0.109471089746436,0.23341935483871,34.186536435015
"69",132,-39.84131,69.2245,13.6506,12.25,6.3,16.205,6.155,2.3216,48.7884,123.2259,8.9,"WA2",132,0.278696693998691,0.0866264336841708,0.155630627791043,0.143673305132874,0.114098067461709,0.211870967741935,34.4989337796617
"70",132.5,-36.31315,71.246,13.7231,12.25,4.3768,13.3259,5.3617,2.3488,49.5657,125.0181,8.9,"WA2",132.5,0.289852641059404,0.0915497164751424,0.163199489551431,0.150744776033425,0.119759233831304,0.194322580645161,35.048511935283
"71",133,-27.89958,73.4839,13.7687,12.25,3.4076,10.7451,4.3895,2.3675,50.5732,126.8103,8.9,"WA2",133,0.302202823561095,0.0971668629200476,0.17171625192543,0.15870525192416,0.126149413901423,0.182258064516129,35.7608848900728
"72",133.5,-15.23212,75.9802,13.891,12.25,3.2499,9.4802,4.3109,2.372,52.0369,128.6026,8.9,"WA2",133.5,0.31597902472244,0.103646134857296,0.181390044063687,0.167751122916371,0.133434724265914,0.179354838709677,36.7958634208261
"73",134,-2.56456,75.8155,14.039,12.25,3.2776,9.0408,4.4198,2.3731,53.2154,130.39481,8.9,"WA2",134,0.315070103386353,0.103211558195889,0.180746081768189,0.167148837880462,0.132948837010011,0.178645161290323,37.629182234362
"74",134.5,0,75.7286,14.2576,12.25,3.285,8.7716,4.7354,2.3701,54.3938,130.228,8.9,"WA2",134.5,0.31459053286962,0.102982672186798,0.180406637391329,0.166831369153627,0.132692770554286,0.18058064516129,38.4624367910394
"75",135,-0.78779,75.6576,14.5199,12.25,3.4447,9.0542,5.1932,2.3807,55.1139,129.504,8.9,"WA2",135,0.314198708857099,0.10279587405626,0.18012946825255,0.166572147457666,0.132483710046507,0.173741935483871,38.9716060707674
"76",135.5,-1.57557,75.7803,14.7397,12.25,3.6567,9.2322,5.578,2.3924,53.1929,128.77991,8.9,"WA2",135.5,0.314875846974512,0.103118810953907,0.180608558119226,0.167020216953998,0.13284508891776,0.166193548387097,37.613243882345
"77",136,-2.36336,75.939,14.9414,12.25,3.9309,9.2009,5.5304,2.3884,53.6606,128.2037,8.9,"WA2",136,0.315751656422216,0.10353732969916,0.181228879633269,0.167600387472144,0.133313108747227,0.168774193548387,37.9439618192961
"78",136.5,-3.15115,76.0878,15.0792,12.25,3.2489,8.7295,5.1827,2.3715,54.4023,130.5451,8.9,"WA2",136.5,0.316572831254091,0.103930595307062,0.18181118888209,0.168145020324691,0.133752561887508,0.179677419354839,38.4684450508792
"79",137,-3.93894,76.5727,15.2152,12.25,2.8435,8.0616,4.8986,2.3546,55.0686,132.8866,8.9,"WA2",137,0.319248823700165,0.105217906615983,0.183713387749704,0.169924238677761,0.135188865405414,0.19058064516129,38.9396136790179
"80",137.5,-4.72672,78.1773,15.4292,12.25,2.7531,7.8255,4.7678,2.3336,55.6587,135.228,8.9,"WA2",137.5,0.328104046383133,0.109541336957281,0.190058572066727,0.175860219727,0.139988556735986,0.204129032258064,39.356908887461
"81",138,-5.51441,78.2921,15.6491,12.25,2.6581,7.4637,4.8308,2.304,55.3533,137.5694,8.9,"WA2",138,0.328737587180843,0.109854433754763,0.190515526643759,0.176287764464255,0.140334729255757,0.223225806451613,39.1410120631203
"82",138.5,-6.3022,78.3966,15.746,12.25,2.4083,8.324,5.1263,2.289,56.2391,139.9108,8.9,"WA2",138.5,0.329314285903497,0.11013988175754,0.190931831761814,0.176677282768036,0.140650168503017,0.232903225806451,39.7673899867881
"83",139,-7.08998,76.9056,15.7826,12.25,2.2072,9.0178,5.3717,2.2569,58.4743,140.1449,8.9,"WA2",139,0.321085981640562,0.106106817334961,0.185023401915251,0.171149641692448,0.136178710508244,0.253612903225806,41.3479629485824
"84",139.5,-7.87777,75.2879,15.779,12.25,2.2607,9.663,5.6318,2.2487,60.12,140.3297,8.9,"WA2",139.5,0.312158464667959,0.101826235955106,0.178688667295855,0.165224693187632,0.13139735199641,0.258903225806452,42.5116538779682
"85",140,-8.66556,75.4201,15.7329,12.25,2.6713,10.2116,5.823,2.2616,60.5932,140.56709,8.9,"WA2",140,0.312888029941977,0.102172383551773,0.1792034113193,0.165706078093164,0.131785390861944,0.25058064516129,42.8462289875068
"86",140.5,-9.45335,76.1309,15.7493,12.25,2.9878,10.569,6.0139,2.2497,60.4226,140.7476,8.9,"WA2",140.5,0.316810684985635,0.104044659678641,0.181979978917736,0.168302891920519,0.133879963656445,0.258258064516129,42.7256204635339
"87",141,-10.24114,78.469,15.839,12.25,2.9111,10.7328,6.0865,2.2416,59.6146,143.0975,8.9,"WA2",141,0.329713836023306,0.110337894410377,0.191220452743856,0.176947336464636,0.140868894366367,0.263483870967742,42.1542996437508
"88",141.5,-11.02893,79.5599,15.9288,12.25,2.8464,10.8992,6.1086,2.2328,58.4172,144.7993,8.9,"WA2",141.5,0.335734129195966,0.113346178581464,0.195588708882484,0.18103495312806,0.144182758257833,0.269161290322581,41.307636725188
"89",142,-11.81672,79.4727,15.8607,12.25,2.809,10.4614,6.1618,2.2147,58.9107,147.00101,8.9,"WA2",142,0.335252903084814,0.113104002720522,0.195238194524887,0.180706931940231,0.143916608151557,0.280838709677419,41.6566287934517
"90",142.5,-12.6045,79.3856,15.6057,12.25,2.8065,10.35,6.2237,2.184,59.5088,147.80431,8.9,"WA2",142.5,0.334772228838468,0.112862402773475,0.194888315488926,0.18037950973782,0.143650982719352,0.300645161290322,42.0796130266962
"91",143,-12.43272,79.2417,15.4078,12.25,2.8063,10.6287,6.3279,2.1893,58.8116,146.8419,8.9,"WA2",143,0.333978095382106,0.112463901628234,0.1943107824703,0.179839055142518,0.143212616357988,0.297225806451613,41.586612255268
"92",143.5,-12.26095,79.0408,15.4344,12.25,2.7154,10.5842,6.4664,2.1976,59.1709,145.655,8.9,"WA2",143.5,0.332869398986114,0.111908906601453,0.193505546487671,0.179085536712184,0.142601607179587,0.291870967741935,41.8406536485259
"93",144,-12.08917,76.8469,15.4211,12.25,2.3497,10.0253,6.3357,2.2036,60.5428,145.22839,8.9,"WA2",144,0.320762036999224,0.105949772095224,0.184792165777566,0.170933335717113,0.136003947915224,0.288,42.8107087995515
"94",144.5,-11.91739,75.6845,15.401,12.25,2.078,9.3909,6.2076,2.21,61.3175,145.1842,8.9,"WA2",144.5,0.314347160490012,0.102866624783086,0.180234462507648,0.166670342683658,0.132562901219857,0.283870967741935,43.3584846885608
"95",145,-11.74562,75.4603,15.2852,12.25,2.0719,8.7551,6.0821,2.2185,61.2894,145.6832,8.9,"WA2",145,0.313109879594137,0.102277770228404,0.179360040363743,0.165852558627837,0.131903482138291,0.278387096774193,43.3385974146352
"96",145.5,-11.57384,75.8255,15.0917,12.25,2.214,8.2791,6.0787,2.2232,61.2614,145.7932,8.9,"WA2",145.5,0.31512528986699,0.103237915273318,0.180785157742212,0.167185384375377,0.132978317104774,0.275354838709677,43.3187889387919
"97",146,-11.40206,76.1238,15.1651,12.25,2.3775,7.8736,6.154,2.2408,59.9593,145.15739,8.9,"WA2",146,0.316771502584383,0.104025864704813,0.18195216976947,0.168276881570205,0.133858972834186,0.264,42.3980385895975
"98",146.5,-11.23029,77.0502,15.2386,12.25,2.4343,7.4879,6.3299,2.2395,58.6233,144.7435,8.9,"WA2",146.5,0.321883978150569,0.106494235381578,0.185593465966586,0.171682907509319,0.136609625954016,0.264838709677419,41.4533559704889
"99",147,-11.05841,77.3252,15.1478,12.25,2.4099,7.0926,6.5076,2.2356,57.7771,143.8839,8.9,"WA2",147,0.323401606368078,0.107233217671432,0.18667935434772,0.172698735650613,0.137430752973325,0.267354838709678,40.8550166015129
"100",147.5,-10.88664,76.9453,14.991,12.25,2.4402,6.7553,6.6252,2.2403,57.1342,143.9234,8.9,"WA2",147.5,0.321305071968689,0.106213104199302,0.185179850478858,0.171295990071646,0.136296960446475,0.264322580645161,40.4004125973154
"101",148,-10.71486,76.6144,14.9441,12.25,2.4564,7.0971,6.7771,2.2498,56.6926,144.27341,8.9,"WA2",148,0.31947895132442,0.105329024776561,0.183877301116859,0.170077561506316,0.135312687428505,0.258193548387097,40.0881376386359
"102",148.5,-10.54308,76.541,15.0138,12.25,2.4326,7.2772,7.0389,2.2485,57.0428,144.3459,8.9,"WA2",148.5,0.319073882556547,0.105133479362159,0.183588817125568,0.169807717346893,0.135094769199998,0.259032258064516,40.3357665698243
"103",149,-10.37131,75.4965,15.0196,12.25,2.4442,7.4154,7.2247,2.2426,57.5592,143.8588,8.9,"WA2",149,0.313309654654041,0.10237272199094,0.179501125654402,0.165984503407835,0.132009860821233,0.262838709677419,40.7009249822857
"104",149.5,-10.19953,74.9311,14.9882,12.25,2.4658,7.6114,7.4032,2.2296,58.5219,143.007,8.9,"WA2",149.5,0.310189411038841,0.10089523048303,0.177301999420422,0.163927946408438,0.13035243336911,0.271225806451613,41.3816767606636
"105",150,-10.02775,75.5723,14.7197,12.25,2.336,8.443,7.599,2.2174,59.2324,141.6687,8.9,"WA2",150,0.313727968177268,0.10257170129099,0.179796673937116,0.166260906628775,0.13223272561489,0.279096774193548,41.8840966523654
"106",150.5,-9.85598,76.9065,14.8175,12.25,2.2264,9.0803,7.8257,2.2721,59.3175,141.0435,8.9,"WA2",150.5,0.321090948423819,0.106109226199316,0.185026948081757,0.171152958910884,0.136181390750425,0.243806451612903,41.9441607845231
"107",151,-9.6842,78.272,14.8072,12.25,2.1898,9.6045,7.9626,2.2851,59.2865,140.7888,8.9,"WA2",151,0.328626662354763,0.109799577797741,0.19043549080315,0.176212879207564,0.14027409186869,0.23541935483871,41.9222166906918
"108",151.5,-9.51242,79.5931,14.7715,12.25,2.3542,10.2993,8.0563,2.2877,58.9367,141.9406,8.9,"WA2",151.5,0.33591734831168,0.113438461742173,0.195722223071414,0.181159900625844,0.144284148477122,0.233741935483871,41.6748679792894
"109",152,-9.34065,81.9947,14.6159,12.25,2.6009,10.5813,8.2279,2.2699,58.7079,143.274,8.9,"WA2",152,0.349170933501394,0.120230325803821,0.205470795029473,0.190284678392707,0.151704081720731,0.245225806451613,41.5131163495717
"110",152.5,-9.16887,83.2309,14.4887,12.25,2.6797,11.1758,8.2078,2.2416,58.4717,143.8289,8.9,"WA2",152.5,0.355993086237706,0.123817413304045,0.210559039569309,0.195048638055646,0.155590443534538,0.263483870967742,41.3461553511343
"111",153,-8.99709,83.3973,14.5261,12.25,2.5905,11.1676,8.0763,2.2415,58.4354,143.78551,8.9,"WA2",153,0.356911389275501,0.124305067332826,0.21124763015068,0.195693410497803,0.156117113724581,0.263548387096774,41.3204878414591
"112",153.5,-8.82532,83.1033,14.5812,12.25,2.4265,10.5734,7.9095,2.2409,59.0637,143.82629,8.9,"WA2",153.5,0.355288906744781,0.12344424430454,0.21003160328586,0.194554775722011,0.155187151080385,0.263935483870968,41.7647597839952
"113",154,-8.65354,82.4407,14.5726,12.25,2.2714,9.7078,7.729,2.2264,59.8346,143.7522,8.9,"WA2",154,0.351632250537792,0.121517255132064,0.207301000901742,0.191998140044642,0.153100890678298,0.273290322580645,42.3098927247542
"114",154.5,-8.48177,81.3317,14.5527,12.25,2.1768,8.7624,7.5526,2.2111,59.3293,143.6459,8.9,"WA2",154.5,0.34551206983518,0.118332196132579,0.202761623449559,0.187748528905011,0.149638666982795,0.283161290322581,41.9526281584738
"115",155,-8.30999,80.5876,14.5224,12.25,2.0795,7.9728,7.3803,2.202,59.1534,144.3244,8.9,"WA2",155,0.341405643811002,0.116222987523233,0.199737379482652,0.184917729943818,0.147336141414497,0.289032258064516,41.8282695745724
"116",155.5,-9.54761,80.4,14.4989,12.25,2.094,7.4688,7.2118,2.1973,60.222,145.71381,8.9,"WA2",155.5,0.340370345434257,0.115694717787589,0.198977630739984,0.184206628744866,0.146758210301943,0.292064516129032,42.5838853657201
"117",156,-12.65604,80.4212,14.3425,12.25,2.2082,7.2014,7.0643,2.1948,60.5491,146.99899,8.9,"WA2",156,0.340487340773207,0.115754345373085,0.199063432568537,0.184286935567717,0.146823468490744,0.293677419354839,42.8151828049154
"118",156.5,-16.40516,80.2721,14.1178,12.25,2.2682,6.9978,6.92,2.1951,59.6334,148.4502,8.9,"WA2",156.5,0.339664510346913,0.115335362759216,0.198460281819618,0.183722417917777,0.146364785605439,0.293483870967742,42.1676921845536
"119",157,-19.27078,79.3222,14.4164,12.25,2.1908,6.955,7.0725,2.2253,58.1696,149.3157,8.9,"WA2",157,0.334422346551231,0.112686729625701,0.19463378547698,0.18014131941307,0.143457772016187,0.274,41.1325749264497
"120",157.5,-22.55331,77.7668,14.6059,12.25,2.0915,7.2933,7.3123,2.2145,57.583,147.702,8.9,"WA2",157.5,0.325838641352996,0.108425923132303,0.188427880594651,0.174334544565212,0.13875377474884,0.280967741935484,40.717814478874
"121",158,-24.76884,76.6935,14.4261,12.25,2.2956,7.693,7.5603,2.1945,58.916,146.2438,8.9,"WA2",158,0.319915476386257,0.105539983141642,0.184188369224743,0.170368534244998,0.135547695942401,0.293870967741935,41.6604213621615
