"","DEPT","SP","GR","CALI","BITSIZE","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"79",82,NA,33.7534,NA,NA,NA,NA,NA,61.3611,NA,NA,"TL1",82,0.0343284885363394,0.00763867328770967,0.0160841814813059,0.0145440762440758,0.011710839798632,NA,NA
"80",82.5,NA,34.4964,NA,NA,NA,NA,NA,59.5167,NA,NA,"TL1",82.5,0.0398594582820838,0.00893354241524694,0.0187479994288086,0.0169646521862525,0.0136491855212744,NA,NA
"81",83,NA,34.8585,NA,NA,NA,NA,NA,56.292,NA,NA,"TL1",83,0.0425549685713624,0.00957128318724837,0.0200536286390091,0.0181521713751915,0.0145991676027907,NA,NA
"82",83.5,NA,34.7419,NA,NA,NA,NA,NA,55.5017,NA,NA,"TL1",83.5,0.0416869859706171,0.00936544251390788,0.0196326696404701,0.0177692147503001,0.0142928800502966,NA,NA
"83",84,NA,34.4507,NA,NA,NA,NA,NA,55.1936,NA,NA,"TL1",84,0.039519262700145,0.00885336714986451,0.0185835647380697,0.01681514381354,0.0135295391753021,NA,NA
"84",84.5,NA,34.0928,NA,NA,NA,NA,NA,56.7584,NA,NA,"TL1",84.5,0.0368550176503443,0.00822788697914587,0.0172984711394985,0.0156471026048279,0.0125944517101644,NA,NA
"85",85,NA,34.012,NA,NA,NA,NA,NA,59.1778,NA,NA,"TL1",85,0.0362535339956254,0.00808726807653493,0.017009002775862,0.0153840990662137,0.0123838160629646,NA,NA
"86",85.5,NA,34.6231,NA,NA,NA,NA,NA,60.1189,NA,NA,"TL1",85.5,0.040802626339669,0.00915618878856212,0.0192042886593135,0.0173795826722389,0.0139811882464253,NA,NA
"87",86,NA,35.6406,NA,NA,NA,NA,NA,60.1172,NA,NA,"TL1",86,0.0483770028084373,0.0109638773843264,0.022890362425727,0.020734725641163,0.0166630739875408,NA,NA
"88",86.5,NA,35.3875,NA,NA,NA,NA,NA,60.1155,NA,NA,"TL1",86.5,0.0464928999246582,0.0105109340381761,0.0219698432906267,0.0198963274958077,0.015993351502118,NA,NA
"89",87,NA,34.6314,NA,NA,NA,NA,NA,60.1138,NA,NA,"TL1",87,0.0408644124081611,0.00917079295123574,0.0192342005721459,0.0174067864076266,0.0140029524177407,NA,NA
"90",87.5,NA,34.6331,NA,NA,NA,NA,NA,60.1121,NA,NA,"TL1",87.5,0.0408770673860451,0.00917378445082149,0.0192403274246363,0.0174123585912518,0.0140074103669989,NA,NA
"91",88,NA,34.4799,NA,NA,NA,NA,NA,60.1104,NA,NA,"TL1",88,0.0397366305555632,0.00890458704039298,0.0186886212845165,0.0169106626758333,0.0136059807384887,NA,NA
"92",88.5,NA,34.5655,NA,NA,NA,NA,NA,60.1087,NA,NA,"TL1",88.5,0.0403738459125426,0.00905490314891163,0.0189967777618748,0.017190869917604,0.0138302009043487,NA,NA
"93",89,NA,35.2236,NA,NA,NA,NA,NA,60.107,NA,NA,"TL1",89,0.0452728111745539,0.0102187868532697,0.0213750239206128,0.0193547557786093,0.0155605846657432,NA,NA
"94",89.5,NA,35.9237,NA,NA,NA,NA,NA,60.1053,NA,NA,"TL1",89.5,0.0504844288313448,0.0114731081320848,0.0239228436099284,0.0216755015546932,0.0174142416388954,NA,NA
"95",90,NA,36.2887,NA,NA,NA,NA,NA,60.1036,NA,NA,"TL1",90,0.0532015270240725,0.0121337327721524,0.0252584779291729,0.0228931281255194,0.0183859493971686,NA,NA
"96",90.5,NA,36.505,NA,NA,NA,NA,NA,60.1019,NA,NA,"TL1",90.5,0.0548116868571876,0.0125273986082972,0.0260523557933849,0.0236171924695103,0.018963510277076,NA,NA
"97",91,NA,37.0059,NA,NA,NA,NA,NA,60.1002,NA,NA,"TL1",91,0.0585404388701665,0.0134453017461406,0.0278976081593366,0.0253011009143598,0.0203059594763386,NA,NA
"98",91.5,NA,37.1548,NA,NA,NA,NA,NA,60.0985,NA,NA,"TL1",91.5,0.0596488660507067,0.0137198589628681,0.0284479786398129,0.0258035956591367,0.0207063627211358,NA,NA
"99",92,NA,36.4442,NA,NA,NA,NA,NA,60.0968,NA,NA,"TL1",92,0.0543590852952209,0.0124165783513307,0.0258290247323782,0.0234134766041576,0.0188010330720066,NA,NA
"100",92.5,NA,36.1007,NA,NA,NA,NA,NA,60.0951,NA,NA,"TL1",92.5,0.0518020353522018,0.0117928909412318,0.0245699064898185,0.0222653071357537,0.017884997982579,NA,NA
"101",93,NA,36.6978,NA,NA,NA,NA,NA,60.0934,NA,NA,"TL1",93,0.0562469102313189,0.0128796673953486,0.0267614777552863,0.02426415841709,0.0194794077428886,NA,NA
"102",93.5,NA,36.3788,NA,NA,NA,NA,NA,60.0917,NA,NA,"TL1",93.5,0.0538722408519212,0.0122975171821265,0.0255889532921213,0.0231945120339978,0.0186263767191834,NA,NA
"103",94,NA,36.0283,NA,NA,NA,NA,NA,60.09,NA,NA,"TL1",94,0.0512630821764388,0.0116619565065742,0.024305089323604,0.0220239032218732,0.0176923365263071,NA,NA
"104",94.5,NA,35.9281,NA,NA,NA,NA,NA,60.0883,NA,NA,"TL1",94.5,0.0505171828917503,0.0114810444448635,0.0239389144676786,0.0216901483384448,0.0174259336832061,NA,NA
"105",95,NA,35.7123,NA,NA,NA,NA,NA,60.0866,NA,NA,"TL1",95,0.048910745110954,0.0110925887852576,0.0231515710799394,0.0209726935343322,0.0168531139439434,NA,NA
"106",95.5,NA,35.5129,NA,NA,NA,NA,NA,60.0849,NA,NA,"TL1",95.5,0.0474263906462145,0.0107350741351822,0.022425619819081,0.0203114007157241,0.0163249526016494,NA,NA
"107",96,NA,35.6226,NA,NA,NA,NA,NA,60.0832,NA,NA,"TL1",96,0.0482430089249604,0.0109315925569193,0.0228248173766221,0.0206750166823213,0.0166153871555445,NA,NA
"108",96.5,NA,35.0629,NA,NA,NA,NA,NA,60.0815,NA,NA,"TL1",96.5,0.0440765435592899,0.00993322976821038,0.0207927938549595,0.0188247868455649,0.0151369714404642,NA,NA
"109",97,NA,34.8764,NA,NA,NA,NA,NA,60.0798,NA,NA,"TL1",97,0.0426882180443756,0.00960292367564004,0.0201182975657579,0.0182110088426461,0.0146462200377913,NA,NA
"110",97.5,NA,34.69,NA,NA,NA,NA,NA,60.0781,NA,NA,"TL1",97.5,0.0413006369399251,0.00927396773147788,0.0194454588002096,0.0175989284143745,0.0141566651723506,NA,NA
"111",98,NA,34.112,NA,NA,NA,NA,NA,60.0764,NA,NA,"TL1",98,0.0369979444593864,0.00826133328045993,0.0173672912003036,0.0157096361189264,0.012644529212816,NA,NA
"112",98.5,NA,33.609,NA,NA,NA,NA,NA,60.0747,NA,NA,"TL1",98.5,0.0332535598266685,0.00738914379063696,0.0155688421105191,0.0140761532615068,0.0113358242828729,NA,NA
"113",99,NA,33.8074,NA,NA,NA,NA,NA,60.073,NA,NA,"TL1",99,0.0347304701867704,0.00773216451028925,0.0162770957936471,0.014719270810015,0.0118512224133936,NA,NA
"114",99.5,NA,34.3726,NA,NA,NA,NA,NA,60.0713,NA,NA,"TL1",99.5,0.0389378781279476,0.00871651171992919,0.0183027299761087,0.0165598281293846,0.0133251959465134,NA,NA
"115",100,NA,35.5107,NA,NA,NA,NA,NA,60.0696,NA,NA,"TL1",100,0.0474100136160118,0.0107311372264951,0.0224176186555106,0.0203041133745332,0.0163191313654971,NA,NA
"116",100.5,NA,36.224,NA,NA,NA,NA,NA,60.0679,NA,NA,"TL1",100.5,0.0527198934540191,0.0120162943315982,0.0250213560220766,0.0226769059007832,0.0182134381643089,NA,NA
"117",101,NA,36.4512,NA,NA,NA,NA,NA,60.0662,NA,NA,"TL1",101,0.0544111940276842,0.0124293307109928,0.025854730052844,0.0234369232487184,0.0188197341466983,NA,NA
"118",101.5,NA,37.5206,NA,NA,NA,NA,NA,60.0645,NA,NA,"TL1",101.5,0.0623719195271445,0.014397682079357,0.0298036603636106,0.0270418246959976,0.0216926479018932,NA,NA
"119",102,NA,38.6506,NA,NA,NA,NA,NA,60.0628,NA,NA,"TL1",102,0.070783757767644,0.0165217076457104,0.034023992422319,0.0309007223170965,0.0247631378919553,NA,NA
"120",102.5,NA,39.1097,NA,NA,NA,NA,NA,60.0611,NA,NA,"TL1",102.5,0.0742013462067708,0.0173978394184385,0.0357527513260428,0.0324832008247642,0.0260209763872914,NA,NA
"121",103,NA,38.7736,NA,NA,NA,NA,NA,60.0594,NA,NA,"TL1",103,0.0716993826380701,0.0167556843402418,0.0344863507725772,0.0313238592117338,0.0250995419894514,NA,NA
"122",103.5,NA,37.937,NA,NA,NA,NA,NA,60.0577,NA,NA,"TL1",103.5,0.0654716446982454,0.0151750496049543,0.0313531107273709,0.0284578494207921,0.0228199200302574,NA,NA
"123",104,NA,37.302,NA,NA,NA,NA,NA,60.056,NA,NA,"TL1",104,0.0607446382533629,0.0139920498012515,0.0289928974172244,0.0263012232277995,0.0211028007495644,NA,NA
"124",104.5,NA,37.1888,NA,NA,NA,NA,NA,59.9239,NA,NA,"TL1",104.5,0.0599019656083855,0.0137826612103577,0.0285737695244428,0.0259184599714051,0.020797877706184,NA,NA
"125",105,NA,38.0709,NA,NA,NA,NA,NA,58.5289,NA,9.6,"TL1",105,0.0664684103092214,0.0154263404015948,0.0318527774093913,0.0289146712396595,0.0231834480618453,NA,NA
"126",105.5,NA,40.3643,NA,NA,NA,NA,NA,58.2029,NA,9.6,"TL1",105.5,0.0835407198851166,0.0198316167081973,0.0405189843969322,0.036851197191931,0.029489276909655,NA,NA
"127",106,NA,43.0331,NA,NA,NA,NA,NA,57.9071,NA,9.6,"TL1",106,0.103407546341971,0.0252067998703836,0.0508653699052417,0.0463566543898366,0.0370213751589163,NA,NA
"128",106.5,NA,45.732,NA,NA,NA,NA,NA,57.1482,NA,9.6,"TL1",106.5,0.123498440348417,0.0309284035433037,0.0616222964849982,0.0562693898501114,0.0448595352044775,NA,NA
"129",107,NA,48.9981,NA,NA,NA,NA,NA,57.387,NA,9.6,"TL1",107,0.147811630505315,0.0382585330570872,0.0750469897044892,0.0686767827374248,0.0546564494414905,NA,NA
"130",107.5,NA,55.7435,NA,NA,NA,NA,NA,56.5727,NA,9.6,"TL1",107.5,0.198025093927851,0.0549242455691505,0.104247099398481,0.0957709232544519,0.0760479687451356,NA,NA
"131",108,NA,64.539,NA,NA,NA,NA,NA,55.177,NA,9.6,"TL1",108,0.263499716267952,0.0801424464558687,0.145506630082535,0.134219588591179,0.106550608897819,NA,NA
"132",108.5,NA,70.1536,NA,NA,NA,NA,NA,54.523,NA,9.6,"TL1",108.5,0.305295386166278,0.098601506454181,0.173871828288894,0.160720562551167,0.127770238195786,NA,NA
"133",109,NA,74.9945,NA,NA,NA,NA,NA,53.8043,NA,9.6,"TL1",109,0.341331552306485,0.116185135091404,0.199682971554829,0.184866805138582,0.147294747253173,NA,NA
