"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"107",73,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",73,NA,NA,NA,NA,NA,NA,NA
"108",73.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",73.5,NA,NA,NA,NA,NA,NA,NA
"109",74,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",74,NA,NA,NA,NA,NA,NA,NA
"110",74.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",74.5,NA,NA,NA,NA,NA,NA,NA
"111",75,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",75,NA,NA,NA,NA,NA,NA,NA
"112",75.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",75.5,NA,NA,NA,NA,NA,NA,NA
"113",76,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",76,NA,NA,NA,NA,NA,NA,NA
"114",76.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",76.5,NA,NA,NA,NA,NA,NA,NA
"115",77,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",77,NA,NA,NA,NA,NA,NA,NA
"116",77.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",77.5,NA,NA,NA,NA,NA,NA,NA
"117",78,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",78,NA,NA,NA,NA,NA,NA,NA
"118",78.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",78.5,NA,NA,NA,NA,NA,NA,NA
"119",79,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",79,NA,NA,NA,NA,NA,NA,NA
"120",79.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",79.5,NA,NA,NA,NA,NA,NA,NA
"121",80,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",80,NA,NA,NA,NA,NA,NA,NA
"122",80.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",80.5,NA,NA,NA,NA,NA,NA,NA
"123",81,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",81,NA,NA,NA,NA,NA,NA,NA
"124",81.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",81.5,NA,NA,NA,NA,NA,NA,NA
"125",82,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",82,NA,NA,NA,NA,NA,NA,NA
"126",82.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",82.5,NA,NA,NA,NA,NA,NA,NA
"127",83,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",83,NA,NA,NA,NA,NA,NA,NA
"128",83.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",83.5,NA,NA,NA,NA,NA,NA,NA
"129",84,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",84,NA,NA,NA,NA,NA,NA,NA
"130",84.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",84.5,NA,NA,NA,NA,NA,NA,NA
"131",85,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",85,NA,NA,NA,NA,NA,NA,NA
"132",85.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",85.5,NA,NA,NA,NA,NA,NA,NA
"133",86,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",86,NA,NA,NA,NA,NA,NA,NA
"134",86.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",86.5,NA,NA,NA,NA,NA,NA,NA
"135",87,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",87,NA,NA,NA,NA,NA,NA,NA
"136",87.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",87.5,NA,NA,NA,NA,NA,NA,NA
"137",88,NA,NA,NA,12.25,NA,NA,NA,NA,59.7206,NA,NA,"ES2",88,NA,NA,NA,NA,NA,NA,NA
"138",88.5,NA,NA,NA,12.25,NA,NA,NA,NA,58.9345,NA,NA,"ES2",88.5,NA,NA,NA,NA,NA,NA,NA
"139",89,NA,67.5436,NA,12.25,NA,NA,NA,NA,58.0417,NA,NA,"ES2",89,0.284515387311102,0.0891767301894313,0.159563771108722,0.147347607431827,0.117037840027319,NA,NA
"140",89.5,NA,73.576,NA,12.25,NA,NA,NA,NA,56.0118,NA,NA,"ES2",89.5,0.317073745999357,0.104170893432152,0.182166721825056,0.168477556416872,0.134020926886616,NA,NA
"141",90,NA,77.8035,NA,12.25,NA,NA,NA,NA,54.3209,NA,NA,"ES2",90,0.339890611816379,0.115450404818766,0.198625950059717,0.183877473468533,0.146490759956931,NA,NA
"142",90.5,NA,79.967,NA,12.25,NA,NA,NA,NA,52.718,NA,NA,"ES2",90.5,0.351567557811677,0.121483325701914,0.207252816210057,0.19195302746964,0.153064100636939,NA,NA
"143",91,-36.97134,80.4992,13.4561,12.25,NA,NA,NA,NA,52.1519,NA,NA,"ES2",91,0.354439973184313,0.122995260188515,0.209396429149187,0.193960046030961,0.154701615318034,NA,NA
"144",91.5,-36.70865,80.889,12.9373,12.25,NA,NA,NA,NA,52.1062,NA,NA,"ES2",91.5,0.356543820445218,0.124109736368385,0.210971903023299,0.195435227223825,0.155906202100391,NA,NA
"145",92,-37.07596,82.1309,12.8537,12.25,NA,NA,NA,NA,53.1507,NA,NA,"ES2",92,0.363246662706166,0.127700814855599,0.216022101938084,0.200164497605087,0.159773739292868,NA,NA
"146",92.5,-37.24836,84.2435,12.8751,12.25,NA,NA,NA,NA,53.9307,NA,NA,"ES2",92.5,0.374648888779505,0.133953239759091,0.224721561227618,0.208313114006503,0.166458665675098,NA,NA
"147",93,-36.83857,86.0441,12.8713,12.25,NA,NA,NA,NA,54.2662,NA,NA,"ES2",93,0.384367173484443,0.139428519967481,0.232245563202774,0.215362726768131,0.172264191384962,NA,NA
"148",93.5,-36.62429,86.1327,12.7687,12.25,NA,NA,NA,NA,54.4239,NA,NA,"ES2",93.5,0.384845369655085,0.139701474360561,0.232618410970319,0.215712115545666,0.172552469040125,NA,NA
"149",94,-37.81392,84.5216,12.6336,12.25,NA,NA,NA,NA,54.4865,NA,NA,"ES2",94,0.37614986344153,0.134790003504317,0.225877023530251,0.209395601973892,0.167348764397272,NA,NA
"150",94.5,-39.00355,82.5947,12.5777,12.25,NA,NA,NA,NA,54.4754,NA,NA,"ES2",94.5,0.365749906317268,0.129057850742139,0.217920217129032,0.201942211667142,0.161229832977018,NA,NA
"151",95,-40.20687,81.2151,12.7746,12.25,34.9348,NA,NA,NA,54.2264,NA,NA,"ES2",95,0.358303863010074,0.125046718735253,0.212293452022917,0.196672712434862,0.156917349284697,NA,NA
"152",95.5,-40.7292,81.1615,13.5395,12.25,38.5878,NA,NA,NA,53.8533,NA,NA,"ES2",95.5,0.35801457051858,0.124892419377321,0.212076011794183,0.196469099562505,0.156750936253695,NA,NA
"153",96,-40.39412,82.1765,14.3736,12.25,42.5095,9.4965,NA,NA,53.5368,NA,NA,"ES2",96,0.363492777213855,0.127833850398053,0.216208429449643,0.200339000702505,0.159916615541938,NA,NA
"154",96.5,-39.81305,83.0658,14.541,12.25,46.8295,7.593,NA,NA,53.2165,NA,NA,"ES2",96.5,0.368292549838593,0.130445193586479,0.219854962851538,0.203754355742561,0.162715439306362,NA,NA
"155",97,-39.74938,83.5413,14.6847,12.25,49.8514,7.4582,NA,NA,52.444,NA,NA,"ES2",97,0.37085894125101,0.131854698128159,0.221814706606525,0.205590040202232,0.164221705683919,NA,NA
"156",97.5,-40.2245,84.1332,15.5324,12.25,53.1537,7.9199,14.1387,2.1031,51.7225,NA,NA,"ES2",97.5,0.374053572327792,0.133622253688799,0.224263947344031,0.207884413401592,0.166106292064496,0.352838709677419,36.5741814768632
"157",98,-40.43783,85.1702,16.6804,12.25,54.6209,8.7235,16.9431,2.1171,51.0581,NA,NA,"ES2",98,0.379650518478531,0.136754111827507,0.228581216783316,0.211929182481882,0.1694339689268,0.343806451612903,36.1043472346903
"158",98.5,-40.61885,86.0568,15.7415,12.25,55.0694,8.1649,23.9884,2.1461,50.3937,NA,NA,"ES2",98.5,0.384435718533734,0.139467624934499,0.232298992347359,0.215412793949704,0.172305498177318,0.325096774193548,35.634468479287
"159",99,-40.87658,86.4848,14.9737,12.25,55.6199,7.0038,30.7114,2.1586,50.5412,NA,9.4,"ES2",99,0.386745740667308,0.140789520798281,0.234102568459661,0.2171029384541,0.173700543889736,0.317032258064516,35.7387283412033
"160",99.5,-41.65021,86.7234,14.2789,12.25,56.3319,7.0874,32.5434,2.1563,51.6925,NA,9.4,"ES2",99.5,0.388033524034296,0.141529853807847,0.235110530238731,0.218047554549232,0.174480765572228,0.318516129032258,36.5528111694193
"161",100,-43.23843,86.4966,13.6297,12.25,59.2121,7.5702,25.5763,2.161,51.8776,NA,9.4,"ES2",100,0.386809428193421,0.140826076639246,0.234152375081362,0.217149614158634,0.173739087443794,0.315483870967742,36.6836810573369
"162",100.5,-44.20496,86.2123,13.3925,12.25,62.8015,7.7264,21.2549,2.1668,51.4585,NA,9.4,"ES2",100.5,0.385274990593946,0.139946987645647,0.232953595658866,0.216026214924499,0.172811674333577,0.311741935483871,36.3873220042664
"163",101,-44.31729,85.5389,13.3281,12.25,63.1237,7.8857,17.6636,2.1622,51.8117,NA,9.4,"ES2",101,0.38164048380715,0.137878505514851,0.230124289779391,0.213375009025667,0.170625133636069,0.314709677419355,36.6370802539658
"164",101.5,-43.77741,85.2174,13.457,12.25,60.1531,8.0484,17.5222,2.1597,52.65,NA,9.4,"ES2",101.5,0.379905268582981,0.136897733653908,0.22877851939993,0.212114046411245,0.169586222453867,0.316322580645161,37.2298439425619
"165",102,-43.82204,85.7673,13.6167,12.25,58.6792,8.1464,18.6887,2.1557,53.6896,NA,9.4,"ES2",102,0.382873215244786,0.138577921908818,0.231082320590577,0.214272703452811,0.171365157683817,0.318903225806452,37.9649499369315
"166",102.5,-44.06297,86.2636,13.7751,12.25,59.2578,8.0791,19.8105,2.1564,54.3958,NA,9.4,"ES2",102.5,0.385551869415096,0.140105357579577,0.233169718736228,0.216228744445631,0.172978830882306,0.318451612903226,38.464298180714
"167",103,-44.21159,86.5703,13.8929,12.25,59.6969,7.7736,21.2964,2.1602,54.4041,NA,9.4,"ES2",103,0.387207205369226,0.141054530904307,0.234463554944822,0.217441234691441,0.173979921166591,0.316,38.4701569584139
"168",103.5,-44.20972,86.6085,13.942,12.25,59.4259,7.7359,20.0911,2.158,55.2731,NA,9.4,"ES2",103.5,0.387413380241895,0.141173034485751,0.234624912447839,0.217592451290504,0.174104817261835,0.31741935483871,39.0846282997346
"169",104,-44.61094,86.9473,13.966,12.25,59.6519,7.7398,19.0576,2.1344,56.656,NA,9.4,"ES2",104,0.389241967856042,0.142226802660067,0.236058030091192,0.218935539734648,0.175214563654668,0.332645161290323,40.0625323014118
"170",104.5,-44.94017,86.5408,13.9965,12.25,60.1898,7.7344,19.8713,2.1229,56.1334,NA,9.4,"ES2",104.5,0.387047986553944,0.140963059228181,0.234338977957897,0.217324487647747,0.173883501659483,0.340064516129032,39.6930361614927
"171",105,-44.6249,85.3337,14.1152,12.25,61.5558,7.6428,21.3087,2.1063,54.097,NA,9.4,"ES2",105,0.380532968522548,0.137252016105904,0.229264967169402,0.212569832248972,0.16996166828617,0.350774193548387,38.2531596834488
"172",105.5,-44.21922,84.0987,14.5638,12.25,63.0096,7.6971,21.0146,2.1049,50.6016,NA,9.4,"ES2",105.5,0.373867367272632,0.133518830475333,0.224120890874754,0.207750397049158,0.165996151966206,0.351677419354839,35.7815986197325
"173",106,-43.82895,83.9576,15.0567,12.25,64.4693,7.7567,20.2784,2.1232,48.0886,NA,9.4,"ES2",106,0.373105815583269,0.133096358213084,0.223536194856111,0.20720265656675,0.165546073776388,0.339870967741935,34.0046244078266
