"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"73",137,-18.64265,75.4778,13.3728,12.25,4.4456,2.8871,3.4147,2.0913,35.7786,141.4951,9,"WA1",137,0.228036994732034,0.0659594986203674,0.122695201379338,0.112943814350376,0.0896397905393457,0.360451612903226,25.3005745322635
"74",137.5,-17.58649,76.9155,13.0655,12.25,4.4476,2.8791,3.4393,2.089,34.2577,140.3237,9,"WA1",137.5,0.235378037939361,0.0687905506347685,0.127325733234317,0.11725936232726,0.0930626088273147,0.361935483870968,24.2252038854628
"75",138,-17.29623,78.3615,14.0429,12.25,4.3579,2.8338,3.464,2.1931,34.7519,134.3927,9,"WA1",138,0.242761461795377,0.0716922210362019,0.132030774365791,0.121646165730433,0.0965455060509234,0.294774193548387,24.5741881395417
"76",138.5,-17.23807,79.0901,14.1944,12.25,4.2174,2.7778,3.489,2.3243,35.9504,127.3368,9,"WA1",138.5,0.246481767895995,0.0731752438799721,0.134419825468703,0.123874287044186,0.0983159883850593,0.210129032258064,25.4212058562354
"77",139,-17.0294,78.9312,13.4003,12.25,4.0085,2.7539,3.5328,2.3897,38.1787,126.4416,9,"WA1",139,0.245670408248193,0.07285060464197,0.133897747470046,0.123387340224716,0.0979289693329678,0.167935483870968,26.99667883293
"78",139.5,-15.98184,78.7723,12.7994,12.25,3.8375,2.8,3.6652,2.4223,39.02,129.0256,9,"WA1",139.5,0.244859048600392,0.0725266402268927,0.13337625636588,0.122900961170173,0.0975424506416389,0.146903225806452,27.5915021388629
"79",140,-13.59639,77.9706,12.9259,12.25,3.9366,2.9387,3.8026,2.4043,38.6075,132.1554,9,"WA1",140,0.240765486425172,0.070902379911264,0.130754097972079,0.120455667114338,0.0955999394194117,0.158516129032258,27.2998551609085
"80",140.5,-11.58593,76.8997,13.0523,12.25,4.1789,3.1076,4.0164,2.3814,37.8902,133.88811,9,"WA1",140.5,0.235297361523783,0.068759147457729,0.127274588208201,0.117211686444884,0.0930247768784932,0.173290322580645,26.7926975645968
"81",141,-9.78266,75.8288,13.0969,12.25,4.4876,3.2805,4.2013,2.364,37.1448,133.9995,9,"WA1",141,0.229829236622395,0.0666457614909899,0.123821354907735,0.113993193355648,0.0904717866482925,0.184516129032258,26.2656640239865
"82",141.5,-7.5381,74.2821,13.0982,12.25,5.1644,3.4969,4.3462,2.3747,37.1399,133.8107,9,"WA1",141.5,0.221931628269629,0.0636452423549526,0.118879832945816,0.109389402526152,0.086823065642864,0.177612903225807,26.2621754463848
"83",142,-5.24864,69.6907,13.025,12.25,6.1294,3.6161,4.4961,2.3846,37.3705,132.7124,9,"WA1",142,0.19848747039099,0.0550878974670431,0.104525536624351,0.09602984268709,0.0762526160430501,0.171225806451613,26.4252113381028
"84",142.5,-4.79699,66.8183,12.9631,12.25,7.4738,3.671,4.6512,2.3696,36.6657,133.78999,9,"WA1",142.5,0.183820702283091,0.0499901909712503,0.0957797771234231,0.0879016884148092,0.0698311782452259,0.180903225806451,25.9268806691733
"85",143,-5.74432,65.8011,12.9038,12.25,7.5545,3.5639,4.6379,2.3404,35.8013,135.2054,9,"WA1",143,0.178626775072622,0.0482304313918524,0.0927250406087575,0.08506501984585,0.0675913404717425,0.199741935483871,25.3157360008631
"86",143.5,-8.20215,65.4511,12.86,12.25,6.2581,3.4094,4.5609,2.3214,36.1896,136.34399,9,"WA1",143.5,0.176839639284512,0.0476303303126018,0.0916790371691065,0.0840939857221257,0.0668247192611211,0.212,25.5903506439439
"87",144,-9.97711,66.0871,12.8103,12.25,4.9526,3.2828,4.3805,2.3395,37.9695,137.1725,9,"WA1",144,0.180087120316619,0.048722845866125,0.0935817009339397,0.0858603961698974,0.0682193207932853,0.200322580645161,26.8488645885288
"88",144.5,-9.81644,67.8256,12.8045,12.25,4.5393,3.2458,4.1905,2.3568,38.9277,137.3046,9,"WA1",144.5,0.188964079081269,0.0517560769556135,0.0988265358177093,0.0907321956544365,0.0720667054449772,0.189161290322581,27.5263656271924
"89",145,-9.56057,69.2911,12.9132,12.25,5.3673,3.1098,3.9003,2.3941,40.3018,136.7372,9,"WA1",145,0.196447071931194,0.0543671850979456,0.103298177453642,0.0948885872856089,0.0753506312253188,0.165096774193548,28.4979151885261
"90",145.5,-9.83512,69.5458,13.0172,12.25,6.3501,2.9728,3.6978,2.4045,42.108,136.325,9,"WA1",145.5,0.197747596174712,0.054826122134313,0.104080079459185,0.095615615395573,0.0759252183347256,0.158387096774193,29.7750629761922
"91",146,-10.83145,68.7249,13.1744,12.25,5.5813,2.8474,3.5976,2.3807,43.0264,137.07899,9,"WA1",146,0.193555996836259,0.0533524317433288,0.101565045290611,0.0932773479788245,0.0740774179251217,0.173741935483871,30.4245072533652
"92",146.5,-12.31179,67.3409,13.3232,12.25,4.5677,2.8201,3.5931,2.4027,42.0774,137.7446,9,"WA1",146.5,0.186489151319851,0.0509034471708252,0.0973577623418974,0.0893675203224633,0.0709888127331571,0.159548387096774,29.7534287641595
"93",147,-9.55424,66.8016,13.3687,12.25,4.3855,3.0261,3.6664,2.3724,40.9101,138.26089,9,"WA1",147,0.183735430375487,0.049961110242479,0.0957294478342718,0.0878549416696237,0.0697942627248187,0.179096774193548,28.9280863320107
"94",147.5,-6.43417,67.1504,13.3665,12.25,5.3189,3.1189,3.7933,2.3565,39.8683,138.8084,9,"WA1",147.5,0.185516438840894,0.0505698196764687,0.0967818733750751,0.0888325237448031,0.0705662833384188,0.189354838709677,28.191463248162
"95",148,-4.40391,67.2687,13.2965,12.25,5.9801,3.1992,3.9357,2.3278,39.2503,137.2272,9,"WA1",148,0.186120490737275,0.0507769035214872,0.0971394075207705,0.0891646651828342,0.0708285993598132,0.207870967741936,27.7545425149581
"96",148.5,-2.93075,66.8954,13.212,12.25,5.6881,3.3581,4.0834,2.3504,38.9663,133.33929,9,"WA1",148.5,0.184214382766701,0.0501245323934313,0.0960122128528884,0.088117583287012,0.0700016706194311,0.193290322580645,27.5536739550174
"97",149,-2.27459,65.8018,13.0899,12.25,5.0717,3.5306,4.2776,2.3462,38.3294,130.36079,9,"WA1",149,0.178630349344198,0.0482316343521097,0.0927271352133659,0.0850669644807889,0.0675928757920021,0.196,27.103333008691
"98",149.5,-2.87653,64.4655,12.9609,12.25,5.6547,3.6877,4.4899,2.3389,37.6694,127.9274,9,"WA1",149.5,0.171807064905198,0.0459551492355239,0.0887473772094153,0.0813732852873752,0.0646769984862683,0.200709677419355,26.6366662772822
"99",150,-3.63817,63.6261,12.9471,12.25,6.4005,3.8847,4.7126,2.3618,37.6403,125.5994,9,"WA1",150,0.167521002675087,0.0445454073588885,0.0862666647123098,0.0790720836762628,0.0628606540933862,0.185935483870968,26.6160361069616
"100",150.5,-4.17701,63.0081,12.9442,12.25,7.3849,3.8759,4.9186,2.3541,37.1899,126.9566,9,"WA1",150.5,0.164365431483512,0.0435173583395889,0.0844496623276717,0.0773871685283878,0.0615308391074645,0.190903225806452,26.2975769421027
"101",151,-4.82655,63.1823,12.9355,12.25,6.2941,3.9107,5.0129,2.3457,36.2446,128.7099,9,"WA1",151,0.165254914495765,0.0438063001640688,0.0849610293220924,0.0778613089686422,0.0619050469975453,0.196322580645161,25.6291784077804
"102",151.5,-5.57139,64.0309,12.906,12.25,5.4531,3.8895,5.0993,2.3396,35.5205,129.90199,9,"WA1",151.5,0.169587952866591,0.0452233198340805,0.0874611463114947,0.0801800123997447,0.0637351237280196,0.200258064516129,25.1171855861918
"103",152,-6.53912,65.0907,12.8902,12.25,5.5863,3.8796,5.079,2.3377,34.6586,132.3723,9,"WA1",152,0.174999400032985,0.0470152652428765,0.0906046571853255,0.0830967716211599,0.0660374795442892,0.201483870967742,24.5077452013671
"104",152.5,-8.30157,65.7144,12.9218,12.25,6.8733,3.8708,5.0589,2.3634,33.8838,135.88519,9,"WA1",152.5,0.178184076007396,0.0480815214039553,0.0924656891008979,0.084824242180735,0.067401244293223,0.184903225806452,23.9598214897661
"105",153,-9.75059,65.6873,12.9244,12.25,7.5508,3.8682,5.069,2.3796,33.2767,141.1147,9,"WA1",153,0.178045700636373,0.0480350109694091,0.0923846557042002,0.0847490140557163,0.0673418516517865,0.174451612903226,23.5305035672342
"106",153.5,-10.68055,65.3855,12.9114,12.25,6.356,3.883,5.0795,2.3791,33.1965,145.2644,9,"WA1",153.5,0.176504678976798,0.0475181599744548,0.091483274451225,0.0839122710286488,0.0666812629304732,0.174774193548387,23.4737955843184
"107",154,-11.06387,64.7736,12.8969,12.25,5.3502,3.9084,5.0916,2.3901,32.4793,147.87891,9,"WA1",154,0.173380255008959,0.0464764921699429,0.0896616218557605,0.0822216065973416,0.0653466284003369,0.167677419354839,22.9666393297644
"108",154.5,-11.01412,64.1607,12.9384,12.25,5.4423,3.9162,5.1222,2.3865,32.9416,144.3168,9,"WA1",154.5,0.170250724938867,0.0454414559398766,0.0878448847000807,0.0805359912170396,0.0640160999264467,0.17,23.2935389170474
"109",155,-11.28506,63.9549,12.9612,12.25,5.5357,3.9151,5.1235,2.3604,34.2056,138.98849,9,"WA1",155,0.169199889095459,0.0450957696161508,0.0872366248791398,0.0799717432104952,0.0635707375243809,0.186838709677419,24.1873725326195
"110",155.5,-11.5922,64.4718,12.9446,12.25,5.1431,3.9074,5.0855,2.3435,35.0979,130.84641,9,"WA1",155.5,0.171839233349384,0.0459657885548851,0.0887660516369435,0.0813906119162786,0.0646906751291605,0.197741935483871,24.8183569790896
"111",156,-11.09723,65.5236,12.9364,12.25,4.5772,3.9213,5.0477,2.3297,34.9675,124.4459,9,"WA1",156,0.177209831697764,0.0477544112033932,0.0918954965570524,0.084294918256187,0.0669833492658958,0.206645161290323,24.7261881258787
"112",156.5,-9.93627,67.1708,12.9945,12.25,4.8775,3.9506,5.0103,2.3566,35.2888,122.2575,9,"WA1",156.5,0.18562060332683,0.0506055069369462,0.0968435062539413,0.0888897781458209,0.0706115006811027,0.189290322580645,24.9533087612267
