DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
135.0,-31.92286,73.8449,,17.2555,7.3594,12.0844,,,,,131.0947,SB20,135.0
135.5,-31.92006,72.9398,,16.8552,7.1806,11.0867,,,,,132.8042,SB20,135.5
136.0,-32.00397,71.2261,,17.8361,7.235,10.5231,,,,,135.64169,SB20,136.0
136.5,-32.15646,68.1837,,21.6843,7.3978,10.9385,,,,,138.4144,SB20,136.5
137.0,-32.56207,66.6841,,26.9601,8.0448,11.4565,,,,,140.27361,SB20,137.0
137.5,-33.35928,66.5545,,34.0268,8.3868,12.6268,,,,,142.2971,SB20,137.5
138.0,-34.41257,67.7102,,38.0856,8.8636,13.5373,,,,,144.634,SB20,138.0
138.5,-35.85307,69.7479,,36.9575,9.3706,14.3744,,,,,146.7399,SB20,138.5
139.0,-37.28377,72.4229,,35.7491,9.6903,14.6879,,,,,146.95959,SB20,139.0
139.5,-38.79688,73.4858,,37.1393,9.6339,14.8874,,,,,146.68919,SB20,139.5
140.0,-39.99028,74.4945,,40.2868,9.0476,15.1068,,,,,146.1223,SB20,140.0
140.5,-40.68018,75.4461,,38.9263,8.6453,15.3352,,,,,143.98331,SB20,140.5
141.0,-41.38938,76.4989,,34.2139,8.6908,15.5935,,,,,141.91,SB20,141.0
141.5,-42.19338,76.6512,,31.6217,9.5187,16.1988,,,,,140.0968,SB20,141.5
142.0,-43.16309,75.0151,,34.1769,9.7436,16.018,,,,,138.7684,SB20,142.0
142.5,-44.00589,73.4714,,41.9364,9.8308,16.0217,,,,,137.95461,SB20,142.5
143.0,-43.80629,74.1308,,47.814,10.0563,16.997,,,,,138.6627,SB20,143.0
143.5,-43.42339,75.6947,,47.6129,10.5533,18.1646,,,,,142.10719,SB20,143.5
144.0,-42.91189,78.2754,,48.3908,12.5134,19.58,,,,,142.9021,SB20,144.0
144.5,-42.56469,78.4949,,51.6273,13.4356,20.6736,,,,,142.7235,SB20,144.5
145.0,-42.8578,77.7102,,55.5303,13.6293,20.5109,,,,,142.9377,SB20,145.0
145.5,-43.7188,76.1804,,58.6852,12.1647,20.5379,,,,,143.6031,SB20,145.5
146.0,-44.6903,74.7202,,54.729,11.1893,20.5561,,,,,142.1628,SB20,146.0
146.5,-46.34259,73.3816,,41.9046,10.565,19.9435,,,,,139.7818,SB20,146.5
147.0,-46.8918,73.5027,,38.5343,10.2489,19.05,,,,,135.0146,SB20,147.0
147.5,-47.2212,74.0102,,39.6416,10.0335,18.1935,,,,,129.4296,SB20,147.5
148.0,-48.1682,74.6395,,45.4862,9.7533,17.3755,,,,,125.8845,SB20,148.0
148.5,-49.2591,76.015,,53.4764,9.5033,17.0358,,,,,128.4491,SB20,148.5
149.0,-50.2909,79.1538,,66.9321,9.6785,17.6686,,,,,134.6479,SB20,149.0
149.5,-51.2069,80.118,,85.1499,10.0354,18.4738,,,,,141.3916,SB20,149.5
150.0,-51.58751,79.9654,,129.32629,10.8078,19.2798,,,,,147.15891,SB20,150.0
150.5,-52.0335,77.5639,,177.33479,11.6318,20.4116,,,,,150.2168,SB20,150.5
151.0,-52.77101,76.0365,,193.3423,12.186,21.6527,,,,,150.8425,SB20,151.0
151.5,-53.66951,75.8853,,184.8483,13.0479,24.2851,,,,,151.2178,SB20,151.5
152.0,-54.04311,75.8168,,185.5101,13.6516,27.0625,,,,,151.8123,SB20,152.0
152.5,-54.16521,74.2173,,184.4494,14.168,28.3314,,,,,152.5071,SB20,152.5
153.0,-54.17951,72.664,,167.0114,15.1221,29.8169,,,,,153.1076,SB20,153.0
153.5,-54.19592,72.3221,,153.8477,15.6223,32.7378,,,,,153.7827,SB20,153.5
154.0,-54.04702,72.5657,,167.66701,16.8054,34.016,,,,,154.489,SB20,154.0
154.5,-53.86002,73.1731,,184.13609,17.4899,35.3442,,,,,154.7486,SB20,154.5
155.0,-53.65802,74.4613,,211.502,18.1593,36.289,,,,,154.3542,SB20,155.0
155.5,-53.52602,74.9585,,231.3837,18.2807,36.4022,,,,,153.75191,SB20,155.5
156.0,-53.24192,74.777,,243.88541,17.7245,35.8962,,,,,152.16521,SB20,156.0
156.5,-52.96423,74.674,,259.09531,17.0543,35.3971,,,,,150.8808,SB20,156.5
157.0,-53.03562,74.8881,,266.1322,16.6991,35.5889,,,,,149.8226,SB20,157.0
