DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
135.0,,85.0531,15.2997,12.25,98.4126,39.3901,2.2633,,,9.6,TL1,135.0
135.5,,85.717,15.2628,12.25,114.8373,43.6167,2.268,,,9.6,TL1,135.5
136.0,,86.0766,15.4552,12.25,126.7952,45.0962,2.2706,,,9.6,TL1,136.0
136.5,,85.3199,15.5687,12.25,119.3627,43.9945,2.2689,,,9.6,TL1,136.5
137.0,,84.0075,14.9393,12.25,108.143,41.8082,2.263,,,9.6,TL1,137.0
137.5,,83.5619,14.8889,12.25,100.7881,40.341,2.24,,,9.6,TL1,137.5
138.0,,83.0463,14.8755,12.25,90.5179,38.9152,2.2433,,,9.6,TL1,138.0
138.5,,81.2655,14.9048,12.25,83.3518,37.3851,2.2488,,,9.6,TL1,138.5
139.0,,79.8459,15.3833,12.25,78.9657,35.7994,2.2499,,,9.6,TL1,139.0
139.5,,78.7543,15.2321,12.25,76.7027,34.6083,2.2707,,,9.6,TL1,139.5
140.0,,77.5665,15.3175,12.25,68.3363,33.6738,2.2962,,,9.6,TL1,140.0
140.5,,76.6788,14.8894,12.25,70.9755,33.1238,2.3073,,,9.6,TL1,140.5
141.0,,76.6095,14.675,12.25,72.207,33.2118,2.2971,,,9.6,TL1,141.0
141.5,,77.1623,14.991,12.25,75.783,34.0061,2.2856,,,9.6,TL1,141.5
142.0,,78.8022,14.5836,12.25,88.5285,34.9949,2.2688,,,9.6,TL1,142.0
142.5,,79.5865,14.6011,12.25,80.2353,35.1662,2.28,,,9.6,TL1,142.5
143.0,,80.0806,15.0695,12.25,73.0772,33.4834,2.2918,,,9.6,TL1,143.0
143.5,,80.2513,14.6125,12.25,67.3163,31.8445,2.289,,,9.6,TL1,143.5
144.0,,79.7741,15.0438,12.25,61.8869,31.4873,2.2775,,,9.6,TL1,144.0
144.5,,79.043,15.369,12.25,58.5324,31.186,2.2617,,,9.6,TL1,144.5
145.0,,79.4673,14.51,12.25,65.7151,31.6785,2.2612,,,9.6,TL1,145.0
145.5,,79.8916,14.9335,12.25,73.1175,33.001,2.2609,,,9.6,TL1,145.5
146.0,,80.3159,15.0274,12.25,78.0011,34.2522,2.2577,,,9.6,TL1,146.0
146.5,,80.7402,14.495,12.25,83.1964,35.0538,2.2501,,,9.6,TL1,146.5
147.0,,81.4237,14.3656,12.25,90.9026,37.1206,2.2493,,,9.6,TL1,147.0
147.5,,81.8476,14.3773,12.25,107.9101,40.3645,2.2449,,,9.6,TL1,147.5
148.0,,82.0937,14.2478,12.25,123.3842,43.5818,2.2332,,,9.6,TL1,148.0
148.5,,82.2448,14.2404,12.25,135.13091,46.0485,2.2273,,,9.6,TL1,148.5
149.0,,81.8219,14.3246,12.25,129.5974,43.8931,2.2263,,,9.6,TL1,149.0
149.5,,81.014,14.3478,12.25,112.2023,38.8767,2.2309,,,9.6,TL1,149.5
150.0,,79.5064,14.5382,12.25,89.332,32.942,2.2499,,,9.6,TL1,150.0
150.5,,78.9352,15.2676,12.25,80.9724,31.3645,2.2773,,,9.6,TL1,150.5
151.0,,79.0091,15.997,12.25,72.6182,31.0815,2.2977,,,9.6,TL1,151.0
151.5,,79.2029,14.2218,12.25,65.1258,29.8494,2.3031,,,9.6,TL1,151.5
152.0,,80.4493,14.1285,12.25,58.5173,28.1463,2.3142,47.3245,,9.6,TL1,152.0
152.5,,81.7467,14.0895,12.25,56.078,26.4573,2.3041,47.0789,,9.6,TL1,152.5
153.0,,83.0388,14.0184,12.25,51.8461,24.7344,2.2992,47.0246,,9.6,TL1,153.0
153.5,,83.5994,13.8073,12.25,50.0754,22.6571,2.3067,46.3185,,9.6,TL1,153.5
154.0,,83.0078,13.918,12.25,50.0173,22.1352,2.3206,45.5141,,9.6,TL1,154.0
154.5,,81.458,14.042,12.25,50.7046,21.9823,2.301,44.9427,,9.6,TL1,154.5
155.0,,79.2571,14.3412,12.25,51.4015,21.8968,2.2881,45.7077,,9.6,TL1,155.0
155.5,,78.3096,14.839,12.25,49.9203,21.567,2.2933,47.6951,,9.6,TL1,155.5
156.0,,78.9031,14.1663,12.25,48.8871,21.7567,2.2989,48.5258,,9.6,TL1,156.0
156.5,,79.4985,14.5923,12.25,47.7553,23.1325,2.3064,49.9446,,9.6,TL1,156.5
157.0,,79.8789,14.346,12.25,44.7079,21.8211,2.3153,50.7012,,9.6,TL1,157.0
157.5,,79.9888,14.3195,12.25,42.9829,20.3607,2.3307,50.6542,,9.6,TL1,157.5
158.0,,81.1825,14.2843,12.25,39.1856,19.2077,2.3073,49.5058,,9.6,TL1,158.0
158.5,,82.3763,14.4574,12.25,36.3908,18.1064,2.2975,47.5343,,9.6,TL1,158.5
159.0,,83.57,14.6274,12.25,36.3481,17.6377,2.2954,45.6804,,9.6,TL1,159.0
159.5,,84.0788,14.4451,12.25,37.2388,18.0748,2.2935,44.923,,9.6,TL1,159.5
160.0,,82.5864,14.4391,12.25,40.0753,19.8093,2.2934,45.1474,,9.6,TL1,160.0
160.5,,81.457,14.395,12.25,42.7149,20.2892,2.3018,46.1997,,9.6,TL1,160.5
161.0,,81.3256,14.3684,12.25,42.7862,20.4515,2.3142,47.0966,,9.6,TL1,161.0
161.5,,81.1505,14.3546,12.25,42.586,20.5047,2.3023,47.5768,,9.6,TL1,161.5
162.0,,80.765,14.3115,12.25,42.887,20.4038,2.2954,47.4124,,9.6,TL1,162.0
162.5,,80.5742,14.3535,12.25,43.1908,20.4163,2.2795,48.1636,,9.6,TL1,162.5
163.0,,80.7318,14.3801,12.25,44.1965,20.556,2.2764,50.3435,,9.6,TL1,163.0
163.5,,81.1102,14.4106,12.25,42.0732,20.5095,2.2783,50.5686,,9.6,TL1,163.5
164.0,,81.5995,14.5412,12.25,41.1223,20.1071,2.2826,48.6698,,9.6,TL1,164.0
164.5,,82.1367,14.7071,12.25,42.2487,20.3628,2.2845,48.0015,,9.6,TL1,164.5
165.0,,82.4017,14.655,12.25,46.5732,20.7588,2.2856,47.913,,9.6,TL1,165.0
165.5,,82.1403,14.4287,12.25,51.0042,22.4924,2.2873,49.4212,,9.6,TL1,165.5
166.0,,82.6469,14.498,12.25,56.4606,25.0192,2.3012,51.4906,,9.6,TL1,166.0
166.5,,83.8396,14.5315,12.25,64.3434,28.2372,2.2827,53.012,,9.6,TL1,166.5
167.0,,86.0333,14.5184,12.25,70.732,30.481,2.2722,51.7846,,9.6,TL1,167.0
167.5,,88.0578,14.4973,12.25,75.26,31.296,2.2603,49.7884,,9.6,TL1,167.5
168.0,,87.8383,14.5791,12.25,80.0778,31.6592,2.2538,48.7556,,9.6,TL1,168.0
168.5,,84.6416,14.8304,12.25,84.6149,32.0408,2.2467,47.7206,,9.6,TL1,168.5
169.0,,81.9144,14.9614,12.25,88.5651,32.7136,2.2522,47.2092,,9.6,TL1,169.0
169.5,,80.9118,14.7702,12.25,86.3618,33.2012,2.2596,47.4493,,9.6,TL1,169.5
170.0,,81.6677,14.731,12.25,86.2271,33.9728,2.2848,49.0351,,9.6,TL1,170.0
170.5,,84.2384,14.7786,12.25,89.4708,34.5254,2.3083,51.4473,,9.6,TL1,170.5
171.0,,85.1733,14.826,12.25,83.0994,33.5832,2.2838,51.9383,,9.6,TL1,171.0
171.5,,84.8313,14.8655,12.25,78.6851,31.6118,2.256,51.014,,9.6,TL1,171.5
172.0,,84.8802,15.0213,12.25,76.0326,30.7238,2.2488,49.113,,9.6,TL1,172.0
172.5,,84.7953,14.9833,12.25,72.8651,29.989,2.2606,46.9019,,9.6,TL1,172.5
173.0,,84.0179,14.9774,12.25,73.1626,30.1001,2.2753,44.4651,,9.6,TL1,173.0
173.5,,82.546,15.2402,12.25,76.8448,30.8709,2.2758,45.0755,,9.6,TL1,173.5
174.0,,81.4777,15.1482,12.25,81.5293,31.6614,2.2631,46.0591,,9.6,TL1,174.0
174.5,,80.5521,15.1227,12.25,86.2997,32.7164,2.2553,46.2883,,9.6,TL1,174.5
175.0,,79.9224,15.4498,12.25,91.4045,33.2629,2.2695,46.2374,,9.6,TL1,175.0
175.5,,78.9464,15.3885,12.25,92.4293,32.2283,2.2787,45.6518,,9.6,TL1,175.5
