DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
142.0,-54.75126,49.8459,15.2683,7.0567,7.1514,10.555,,,,,95.2517,SB19,142.0
142.5,-55.8465,51.8597,14.4618,6.5709,6.717,9.8697,,,,,76.3451,SB19,142.5
143.0,-57.04435,54.3989,13.4747,6.6998,6.309,9.1551,,,,,70.4425,SB19,143.0
143.5,-57.9033,55.9242,13.6169,6.8314,6.055,9.0393,,,,,72.0776,SB19,143.5
144.0,-58.58913,56.2731,13.4023,6.943,6.02,8.9186,,,,,73.5873,SB19,144.0
144.5,-59.03698,56.4674,12.5329,6.8384,6.0045,8.8604,,,,,74.5327,SB19,144.5
145.0,-59.28173,56.6509,12.7265,6.7353,5.9891,8.8329,,,,,79.1672,SB19,145.0
145.5,-59.49237,56.9803,13.0969,6.6338,5.9806,8.6922,,,,,88.9015,SB19,145.5
146.0,-59.69551,58.2153,13.4898,6.5338,6.0623,8.7065,,,,,105.4332,SB19,146.0
146.5,-60.02355,58.0499,13.8835,6.4354,6.1451,8.7167,,,,,131.1111,SB19,146.5
147.0,-60.3925,57.2657,14.9268,6.3384,6.0791,8.6953,,,,,140.7412,SB19,147.0
147.5,-60.77574,55.4616,15.4161,6.2429,5.8946,8.4604,,,,,145.8791,SB19,147.5
148.0,-61.00378,53.3646,15.6326,6.1488,5.3839,8.8117,,,,,146.6266,SB19,148.0
148.5,-61.01942,53.0535,15.5922,6.0444,4.7778,8.1676,,,,,145.75639,SB19,148.5
149.0,-60.44637,53.5982,15.4131,5.8744,4.6353,7.9582,,,,,143.6438,SB19,149.0
149.5,-59.18771,54.1735,15.06,5.7089,4.4376,7.6309,,,,,144.9283,SB19,149.5
150.0,-56.89906,54.8509,15.3433,5.5481,4.2484,7.2144,,,,,146.2493,SB19,150.0
150.5,-54.9023,54.9449,15.5585,5.3918,4.0672,6.6725,,,,,160.3942,SB19,150.5
151.0,-53.39205,54.4841,15.5649,5.24,3.8937,6.223,,,,,167.4545,SB19,151.0
151.5,-52.14559,54.4677,15.5704,5.0924,3.7904,6.0191,,,,,169.39,SB19,151.5
152.0,-51.28603,56.0781,15.5584,5.0016,3.555,5.8263,,,,,169.67751,SB19,152.0
152.5,-50.89548,58.3896,15.5446,5.06,3.4341,5.6752,,,,,166.3071,SB19,152.5
153.0,-51.18552,61.9919,15.5324,5.0909,3.4367,5.671,,,,,162.6794,SB19,153.0
153.5,-51.71747,65.4645,14.7661,5.1169,3.5588,5.938,,,,,159.83411,SB19,153.5
