DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
188.0,-0.76936,36.4324,,26.0,10.8248,10.7686,17.632,,,,,93.5699,8.8,LI1,188.0
188.5,0.48322,37.5777,,26.0,10.4762,10.1815,16.0346,,,,,93.6026,8.8,LI1,188.5
189.0,1.38858,39.2775,,26.0,10.1389,9.6672,15.0528,,,,,96.6031,8.8,LI1,189.0
189.5,1.96705,41.76,,26.0,9.8124,9.179,14.3383,,,,,105.1516,8.8,LI1,189.5
190.0,2.19792,43.3413,,26.0,9.4965,8.7154,13.9289,,,,,115.734,8.8,LI1,190.0
190.5,3.69719,44.6401,,26.0,9.1907,8.3675,13.5845,,,,,120.194,8.8,LI1,190.5
191.0,4.50016,45.8611,,26.0,8.8947,8.1708,13.2004,,,,,122.8073,8.8,LI1,191.0
191.5,5.17133,46.6735,,26.0,8.6083,8.023,13.0383,,,,,120.3069,8.8,LI1,191.5
192.0,5.7499,46.9111,,26.0,8.4419,8.1072,12.8782,,,,,113.1143,8.8,LI1,192.0
192.5,6.56156,47.1348,,26.0,8.4047,8.1922,12.9139,,,,,109.5876,8.8,LI1,192.5
193.0,6.99233,48.0626,,26.0,8.3677,8.2782,13.2943,,,,,106.9979,8.8,LI1,193.0
193.5,7.2464,49.9745,,26.0,8.3309,8.365,13.6562,,,,,99.0569,8.8,LI1,193.5
194.0,7.64897,49.4056,,26.0,8.2873,8.4223,13.9667,,,,,96.3792,8.8,LI1,194.0
194.5,9.23264,48.1719,,26.0,8.2173,8.3429,13.4904,,,,,93.0899,8.8,LI1,194.5
195.0,9.56471,46.978,,26.0,8.1037,8.2643,12.8226,,,,,102.3818,8.8,LI1,195.0
195.5,9.89678,45.784,,26.0,7.9095,8.0334,12.1879,,,,,119.4617,8.8,LI1,195.5
