DEPT,SP,GR,CALI,BITSIZE,MSFL,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
152.0,-9.34065,81.9947,14.6159,12.25,2.6009,10.5813,8.2279,2.2699,58.7079,143.274,8.9,WA2,152.0
152.5,-9.16887,83.2309,14.4887,12.25,2.6797,11.1758,8.2078,2.2416,58.4717,143.8289,8.9,WA2,152.5
153.0,-8.99709,83.3973,14.5261,12.25,2.5905,11.1676,8.0763,2.2415,58.4354,143.78551,8.9,WA2,153.0
153.5,-8.82532,83.1033,14.5812,12.25,2.4265,10.5734,7.9095,2.2409,59.0637,143.82629,8.9,WA2,153.5
154.0,-8.65354,82.4407,14.5726,12.25,2.2714,9.7078,7.729,2.2264,59.8346,143.7522,8.9,WA2,154.0
154.5,-8.48177,81.3317,14.5527,12.25,2.1768,8.7624,7.5526,2.2111,59.3293,143.6459,8.9,WA2,154.5
155.0,-8.30999,80.5876,14.5224,12.25,2.0795,7.9728,7.3803,2.202,59.1534,144.3244,8.9,WA2,155.0
155.5,-9.54761,80.4,14.4989,12.25,2.094,7.4688,7.2118,2.1973,60.222,145.71381,8.9,WA2,155.5
156.0,-12.65604,80.4212,14.3425,12.25,2.2082,7.2014,7.0643,2.1948,60.5491,146.99899,8.9,WA2,156.0
156.5,-16.40516,80.2721,14.1178,12.25,2.2682,6.9978,6.92,2.1951,59.6334,148.4502,8.9,WA2,156.5
157.0,-19.27078,79.3222,14.4164,12.25,2.1908,6.955,7.0725,2.2253,58.1696,149.3157,8.9,WA2,157.0
157.5,-22.55331,77.7668,14.6059,12.25,2.0915,7.2933,7.3123,2.2145,57.583,147.702,8.9,WA2,157.5
158.0,-24.76884,76.6935,14.4261,12.25,2.2956,7.693,7.5603,2.1945,58.916,146.2438,8.9,WA2,158.0
158.5,-27.90686,75.7553,14.3141,12.25,2.502,8.1806,7.8166,2.1904,60.2974,147.0103,8.9,WA2,158.5
159.0,-28.38398,74.6879,14.3842,12.25,2.5629,8.699,7.9878,2.1823,61.6709,147.13319,8.9,WA2,159.0
159.5,-30.4971,73.8086,14.4672,12.25,2.5716,9.2503,8.0498,2.1806,61.6872,147.1245,8.9,WA2,159.5
160.0,-32.61013,74.776,14.5501,12.25,2.5541,9.7502,8.0332,2.198,61.7035,147.3614,8.9,WA2,160.0
160.5,-34.72325,75.7434,14.702,12.25,2.6489,9.9758,7.994,2.2197,61.7198,146.6078,8.9,WA2,160.5
161.0,-36.83627,75.4664,14.7398,12.25,2.7411,10.2065,7.836,2.2203,59.9848,145.42529,8.9,WA2,161.0
161.5,-38.58829,76.1387,14.6778,12.25,2.6665,10.0066,7.5051,2.2281,57.6113,145.04829,8.9,WA2,161.5
162.0,-39.52543,78.7537,14.6552,12.25,2.4565,9.3984,7.0769,2.2346,56.9134,145.2585,8.9,WA2,162.0
162.5,-40.46044,79.8792,14.64,12.25,2.3728,8.9252,6.4709,2.241,56.3581,145.2524,8.9,WA2,162.5
163.0,-41.84878,80.4655,14.5957,12.25,2.3761,8.3475,6.1759,2.2443,55.5001,145.0564,8.9,WA2,163.0
163.5,-43.67649,78.1945,14.5405,12.25,2.4311,8.1927,6.0014,2.2433,54.1817,145.181,8.9,WA2,163.5
164.0,-44.84491,75.174,14.5486,12.25,2.6544,8.0407,6.0369,2.2381,52.9747,144.3756,8.9,WA2,164.0
164.5,-45.01264,71.8388,14.61,12.25,3.0022,7.8916,6.4205,2.2329,52.9687,142.6714,8.9,WA2,164.5
165.0,-45.93396,71.0482,14.6279,12.25,3.1155,7.8151,6.8624,2.2245,52.8296,141.66119,8.9,WA2,165.0
165.5,-48.43979,70.9403,14.3285,12.25,2.8943,7.7713,7.0558,2.2318,52.6878,139.8163,8.9,WA2,165.5
166.0,-49.02931,70.7864,13.9561,12.25,2.5544,7.7276,7.1212,2.2565,53.3538,137.9713,8.9,WA2,166.0
166.5,-50.46173,71.8576,13.7218,12.25,2.8568,7.7039,7.1692,2.2759,54.1558,138.46609,8.9,WA2,166.5
167.0,-53.58676,74.3002,13.8097,12.25,3.1675,7.7568,7.2106,2.2756,55.2943,138.5706,8.9,WA2,167.0
167.5,-54.34218,73.4309,14.0332,12.25,3.228,7.81,7.1949,2.2667,56.415,138.1765,8.9,WA2,167.5
168.0,-55.9069,75.4571,14.0365,12.25,2.8858,7.8421,7.09,2.2586,57.6902,137.06239,8.9,WA2,168.0
168.5,-40.49372,77.331,14.0131,12.25,2.6377,7.5283,6.9722,2.2523,57.2289,142.99091,8.9,WA2,168.5
169.0,-13.60695,78.2816,13.9905,12.25,2.6552,7.2067,6.8209,2.2493,56.232,144.7381,8.9,WA2,169.0
169.5,-1.13498,79.0312,14.0474,12.25,2.7418,7.1604,6.7661,2.2549,55.3266,145.60181,8.9,WA2,169.5
170.0,-0.7171,79.5535,14.6762,12.25,2.7539,7.294,7.0682,2.2686,54.4522,145.761,8.9,WA2,170.0
170.5,-0.53783,80.0798,14.7758,12.25,2.5851,7.5633,7.3415,2.236,55.0895,144.04601,8.9,WA2,170.5
171.0,-0.35855,80.6799,14.7672,12.25,2.3526,7.8401,7.5712,2.2536,56.8944,144.46381,8.9,WA2,171.0
171.5,-0.17928,82.1043,14.7006,12.25,2.1456,7.974,7.7116,2.2813,58.8316,147.28081,8.9,WA2,171.5
172.0,0.0,83.6604,14.6653,12.25,2.0873,8.089,7.8322,2.2905,58.591,149.2756,8.9,WA2,172.0
172.5,-0.03321,82.7936,14.6232,12.25,2.4021,8.1264,8.0255,2.2675,58.8826,148.44521,8.9,WA2,172.5
173.0,-0.06642,82.4879,14.4769,12.25,2.6549,8.8324,8.6363,2.2666,60.534,148.2072,8.9,WA2,173.0
173.5,-0.06047,81.4875,14.2003,12.25,2.7884,9.5833,9.3642,2.2705,61.7169,146.8064,8.9,WA2,173.5
174.0,-0.05451,79.6437,14.4109,12.25,2.8775,10.0601,9.7282,2.266,61.7321,144.6525,8.9,WA2,174.0
174.5,-0.04855,77.9457,14.2597,12.25,2.9565,10.4406,9.8488,2.2505,61.7473,143.6945,8.9,WA2,174.5
175.0,-0.0426,77.4023,14.014,12.25,2.9135,10.4358,9.9708,2.2453,61.1671,142.5499,8.9,WA2,175.0
175.5,-0.03664,77.155,14.0519,12.25,2.7218,10.3981,9.9313,2.2435,58.8872,140.7308,8.9,WA2,175.5
176.0,-0.03069,77.1492,14.2488,12.25,2.5137,10.3176,9.8595,2.2596,58.0866,142.452,8.9,WA2,176.0
176.5,-0.02473,77.3742,14.1088,12.25,2.5659,10.2017,9.7883,2.2842,57.6464,143.06551,8.9,WA2,176.5
177.0,-0.01878,78.318,14.1565,12.25,2.8243,10.0054,9.86,2.2944,58.6862,143.3083,8.9,WA2,177.0
177.5,-0.01282,77.2249,14.1655,12.25,3.1171,10.1715,10.2204,2.2954,60.0169,143.09599,8.9,WA2,177.5
178.0,-0.03086,75.3939,14.1927,12.25,3.3045,10.7632,10.594,2.2998,61.3475,142.76601,8.9,WA2,178.0
178.5,-0.7478,73.4959,14.2754,12.25,3.3389,11.3269,10.9812,2.3079,60.5856,143.089,8.9,WA2,178.5
179.0,-1.80375,74.1362,14.4292,12.25,3.2755,11.9228,11.2843,2.3201,58.9637,143.84441,8.9,WA2,179.0
179.5,-2.85269,76.3489,14.6406,12.25,3.2679,12.55,11.548,2.3264,58.9864,144.16589,8.9,WA2,179.5
180.0,-4.23254,77.5207,14.761,12.25,3.3422,13.2102,11.8805,2.3265,58.833,143.8503,8.9,WA2,180.0
180.5,-5.09508,78.4603,14.9113,12.25,3.4498,14.1018,12.2435,2.3308,58.3008,142.5116,8.9,WA2,180.5
181.0,-5.06633,78.5661,15.0121,12.25,3.484,15.4172,12.5637,2.3208,57.8272,141.8905,8.9,WA2,181.0
181.5,-5.98477,78.6807,15.0286,12.25,3.5599,16.3344,12.7586,2.2991,58.6055,141.69119,8.9,WA2,181.5
182.0,-7.19632,78.6914,15.1464,12.25,3.7541,16.7837,12.8361,2.2981,60.6018,141.55811,8.9,WA2,182.0
182.5,-6.00426,78.6771,15.2537,12.25,3.5565,17.2454,12.8755,2.2971,60.656,142.0864,8.9,WA2,182.5
183.0,-6.9507,78.2364,15.3078,12.25,3.3857,17.6248,13.0337,2.266,57.5181,142.6615,8.9,WA2,183.0
183.5,-8.83725,77.8978,15.2709,12.25,3.3029,17.923,13.1987,2.2473,54.6629,143.2657,8.9,WA2,183.5
184.0,-9.16979,79.929,15.1637,12.25,3.3363,18.2717,13.4483,2.2399,53.9217,143.7438,8.9,WA2,184.0
