DEPT,SP,GR,CALI,BITSIZE,MSFL,LL8,ILM,ILD,NPHI,RHOB,DT,MUDWGT,well_name,DEPTH
185.5,-69.61075,78.2681,16.8368,17.5,58.6562,,23.775,50.2541,39.1317,2.4866,112.3649,8.7,AW1,185.5
186.0,-68.94516,78.2392,16.8371,17.5,57.6483,,23.1979,49.0742,39.9953,2.4775,112.2882,8.7,AW1,186.0
186.5,-67.46918,77.865,16.8374,17.5,56.4228,,23.0255,47.9221,39.6685,2.4735,113.7385,8.7,AW1,186.5
187.0,-66.50436,77.6649,16.8377,17.5,53.6909,,23.2223,46.8235,38.3718,2.4639,114.601,8.7,AW1,187.0
187.5,-65.77197,77.3286,16.8379,17.5,53.7061,,23.1767,46.4711,36.6789,2.4618,117.333,8.7,AW1,187.5
188.0,-65.52658,75.8131,16.8382,17.5,54.2815,,23.1676,46.1214,35.8375,2.4604,118.9606,8.7,AW1,188.0
188.5,-65.51047,74.464,16.8385,17.5,55.9774,,23.2026,46.1319,36.0544,2.4881,118.7643,8.7,AW1,188.5
189.0,-65.49448,75.2884,16.8388,17.5,57.2373,,23.3315,47.5325,36.1004,2.4983,103.8332,8.7,AW1,189.0
189.5,-65.47839,76.6269,16.8391,17.5,58.6548,,23.6213,48.9757,35.4494,2.4652,98.9419,8.7,AW1,189.5
190.0,-64.27847,76.923,16.8393,17.5,60.0295,,23.9852,50.4626,35.6711,2.4353,100.8542,8.7,AW1,190.0
190.5,-63.82959,76.916,16.8396,17.5,60.6163,,24.28,50.5644,36.7372,2.4231,101.4794,8.7,AW1,190.5
191.0,-63.496,76.5711,16.8399,17.5,61.1714,,24.382,50.3818,38.6401,2.3712,112.2068,8.7,AW1,191.0
191.5,-62.673,75.741,16.8402,17.5,62.2015,,24.2298,49.783,40.4132,2.334,111.579,8.7,AW1,191.5
192.0,-61.67538,75.4203,16.8405,17.5,63.9024,,23.6172,49.2599,40.7352,2.3428,111.4234,8.7,AW1,192.0
192.5,-60.61871,76.1259,16.8407,17.5,63.4022,,23.0935,49.0154,40.7917,2.3867,126.9875,8.7,AW1,192.5
193.0,-58.1366,77.2285,16.841,17.5,60.8346,,22.7303,48.772,40.6312,2.3834,116.5013,8.7,AW1,193.0
193.5,-52.40881,77.5783,16.8413,17.5,58.763,,22.7149,47.3148,39.9792,2.3828,112.6586,8.7,AW1,193.5
194.0,-49.3934,77.233,16.8416,17.5,57.8322,,22.6023,46.6124,39.6248,2.4172,116.4756,8.7,AW1,194.0
194.5,-52.76141,77.5312,16.8419,17.5,58.8913,,22.5041,46.1664,39.1795,2.4111,122.66,8.7,AW1,194.5
195.0,-60.14722,78.5807,16.8421,17.5,60.301,,22.5137,46.0449,37.6315,2.3965,114.9876,8.7,AW1,195.0
195.5,-60.55713,78.5574,16.8424,17.5,61.8593,,22.7388,46.0338,36.0948,2.3971,115.7348,8.7,AW1,195.5
196.0,-60.27283,78.0049,16.8424,17.5,63.3604,,23.033,46.2754,36.284,2.4226,115.3269,8.7,AW1,196.0
196.5,-59.98843,77.9511,16.8419,17.5,63.9064,,22.9579,46.5182,36.7522,2.4391,115.8775,8.7,AW1,196.5
197.0,-59.70413,77.9847,16.8414,17.5,63.7407,,22.8284,46.7624,36.3654,2.4249,139.80251,8.7,AW1,197.0
197.5,-59.48923,77.6431,16.8409,17.5,62.62,,22.5422,46.5878,36.0503,2.4265,139.8613,8.7,AW1,197.5
198.0,-59.27463,77.4155,16.8404,17.5,61.9337,,22.1442,46.4162,36.6839,2.4371,133.19341,8.7,AW1,198.0
198.5,-59.06003,76.3629,16.8399,17.5,61.272,,21.8461,46.3273,37.0379,2.4339,123.0866,8.7,AW1,198.5
